,,,,Time_Name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
,,,,Time,YR1950,YR1951,YR1952,YR1953,YR1954,YR1955,YR1956,YR1957,YR1958,YR1959,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024,YR2025,YR2026,YR2027,YR2028,YR2029,YR2030,YR2031,YR2032,YR2033,YR2034,YR2035,YR2036,YR2037,YR2038,YR2039,YR2040,YR2041,YR2042,YR2043,YR2044,YR2045,YR2046,YR2047,YR2048,YR2049,YR2050
Country,Country_Name,Series,Series_Name,SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2377128,2355297,2334281,2314421,2294421,2274676,2254539,2235222,2215985,2196062,2175729,2155920,2135362,2114488,2093586,2071576,2050130,2028483,2007303,1986074,1965423,1944243,1923156,1902818,1882292,1861854,1841576
ALB,Albania,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,985406,968699,952718,937590,922780,908444,894318,880881,867832,854869,842099,829881,817720,805780,794168,782471,771317,760413,750002,739887,730293,720803,711644,703050,694670,686597,678866
ALB,Albania,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1391722,1386598,1381563,1376831,1371641,1366232,1360221,1354341,1348153,1341193,1333630,1326039,1317642,1308708,1299418,1289105,1278813,1268070,1257301,1246187,1235130,1223440,1211512,1199768,1187622,1175257,1162710
AND,Andorra,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81938,82904,83753,84463,84958,85344,85681,85883,85984,86055,86106,86174,86121,86007,85941,85844,85668,85478,85284,85013,84678,84294,83917,83515,83087,82641,82195
AND,Andorra,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9107,9161,9202,9227,9229,9219,9205,9177,9139,9100,9060,9023,8976,8924,8879,8834,8782,8732,8684,8631,8575,8516,8462,8408,8355,8303,8255
AND,Andorra,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72831,73743,74551,75236,75729,76125,76476,76706,76845,76955,77046,77151,77145,77083,77062,77010,76886,76746,76600,76382,76103,75778,75455,75107,74732,74338,73940
ARE,United Arab Emirates,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10986400,11243507,11434262,11595513,11737486,11869884,11998743,12131904,12268964,12409675,12553870,12701034,12851094,13003399,13157908,13313639,13470551,13628551,13787500,13947269,14107798,14268814,14431668,14597009,14764608,14937353,15109121
ARE,United Arab Emirates,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1558189,1578390,1589140,1595824,1599989,1603051,1605885,1609571,1614072,1619375,1625478,1632339,1639973,1648326,1657423,1667173,1677607,1688749,1700619,1713240,1726644,1740839,1756030,1772338,1789775,1808729,1828568
ARE,United Arab Emirates,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9428211,9665117,9845122,9999689,10137497,10266833,10392858,10522333,10654892,10790300,10928392,11068695,11211121,11355073,11500485,11646466,11792944,11939802,12086881,12234029,12381154,12527975,12675638,12824671,12974833,13128624,13280553
ARG,Argentina,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45696159,45851378,46003734,46153342,46299946,46443764,46585022,46723736,46859877,46993516,47124535,47251994,47375365,47494512,47608787,47716823,47817645,47910498,47994507,48069561,48135529,48191841,48237678,48272492,48296026,48308274,48308944
ARG,Argentina,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3530379,3506749,3483626,3461069,3439106,3417804,3397228,3377426,3358447,3340342,3323152,3306861,3291480,3277052,3263582,3251027,3239373,3228621,3218763,3209844,3201903,3194952,3188981,3183999,3180030,3177104,3175350
ARG,Argentina,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42165780,42344629,42520108,42692273,42860840,43025960,43187794,43346310,43501430,43653174,43801383,43945133,44083885,44217460,44345205,44465796,44578272,44681877,44775744,44859717,44933626,44996889,45048697,45088493,45115996,45131170,45133594
ARM,Armenia,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3033500,3013103,2993355,2975012,2956619,2937785,2919197,2900471,2882255,2863630,2845132,2826100,2807353,2788660,2770259,2751014,2732210,2713876,2695508,2677640,2660537,2643587,2626837,2610323,2594123,2578168,2562549
ARM,Armenia,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1037112,1026603,1016363,1006643,996950,987152,977480,967806,958345,948791,939323,929723,920260,910859,901596,892103,882798,873687,864609,855734,847143,838642,830243,821958,813810,805776,797885
ARM,Armenia,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996388,1986500,1976992,1968369,1959669,1950633,1941717,1932665,1923910,1914839,1905809,1896377,1887093,1877801,1868663,1858911,1849412,1840189,1830899,1821906,1813394,1804945,1796594,1788365,1780313,1772392,1764664
ASM,American Samoa,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46765,46029,45319,44654,44059,43491,42958,42477,42026,41600,41205,40843,40510,40206,39925,39650,39386,39147,38935,38741,38548,38371,38205,38026,37864,37708,37545
ASM,American Samoa,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8911,8970,9030,9095,9171,9249,9333,9425,9522,9623,9729,9842,9961,10086,10217,10348,10482,10623,10771,10924,11078,11237,11400,11560,11725,11893,12060
ASM,American Samoa,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37854,37059,36289,35559,34888,34242,33625,33052,32504,31977,31476,31001,30549,30120,29708,29302,28904,28524,28164,27817,27470,27134,26805,26466,26139,25815,25485
ATG,Antigua and Barbuda,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93772,94209,94626,95010,95368,95704,96000,96254,96484,96682,96856,97007,97109,97159,97181,97177,97133,97054,96942,96797,96621,96419,96191,95942,95674,95380,95055
ATG,Antigua and Barbuda,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70900,71285,71652,71993,72313,72615,72884,73119,73335,73524,73693,73843,73953,74021,74066,74089,74080,74042,73976,73883,73764,73622,73459,73278,73080,72859,72613
ATG,Antigua and Barbuda,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22872,22924,22974,23017,23055,23089,23116,23135,23149,23158,23163,23164,23156,23138,23115,23088,23053,23012,22966,22914,22857,22797,22732,22664,22594,22521,22442
AUS,Australia,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27196812,27446304,27684434,27920112,28151914,28373578,28594164,28811054,29022044,29230696,29437808,29646804,29855450,30056834,30263502,30463972,30668762,30877474,31089346,31298392,31507138,31719770,31939186,32147064,32368462,32578894,32790216
AUS,Australia,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3371821,3370607,3367694,3364281,3360295,3355099,3349882,3344439,3338626,3332967,3327662,3323203,3319443,3315728,3313563,3311799,3311701,3313334,3316731,3321373,3327658,3336153,3347289,3359277,3374871,3391637,3411131
AUS,Australia,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23824991,24075697,24316740,24555831,24791619,25018479,25244282,25466615,25683418,25897729,26110146,26323601,26536007,26741106,26949939,27152173,27357061,27564140,27772615,27977019,28179480,28383617,28591897,28787787,28993591,29187257,29379085
AUT,Austria,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9177982,9167205,9157493,9149002,9141950,9132592,9121235,9109396,9096187,9083783,9068382,9053242,9037505,9018133,9001653,8982284,8962112,8941744,8919444,8896709,8871191,8845797,8818662,8790005,8760066,8728570,8697663
AUT,Austria,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2802422,2776268,2749563,2722347,2694679,2665456,2634791,2603139,2570257,2536772,2501630,2465755,2428919,2390329,2351736,2311626,2270566,2228726,2185689,2141846,2096657,2050839,2003976,1956149,1907442,1857824,1807773
AUT,Austria,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6375560,6390937,6407930,6426655,6447271,6467136,6486444,6506257,6525930,6547011,6566752,6587487,6608586,6627804,6649917,6670658,6691546,6713018,6733755,6754863,6774534,6794958,6814686,6833856,6852624,6870746,6889890
AZE,Azerbaijan,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10202830,10264010,10321681,10376953,10430970,10483108,10532756,10580809,10627401,10671783,10714249,10754896,10792984,10828877,10861417,10892018,10918934,10942823,10963798,10982294,10997493,11011563,11022310,11032071,11039500,11043359,11046590
AZE,Azerbaijan,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4226645,4245492,4263113,4279974,4296550,4312587,4327839,4342675,4357153,4370968,4384242,4397015,4408988,4420309,4430506,4440158,4448553,4455958,4462419,4468112,4472702,4477069,4480319,4483399,4485757,4486887,4487990
AZE,Azerbaijan,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5976185,6018518,6058568,6096979,6134420,6170521,6204917,6238134,6270248,6300815,6330007,6357881,6383996,6408568,6430911,6451860,6470381,6486865,6501379,6514182,6524791,6534494,6541991,6548672,6553743,6556472,6558600
BDI,Burundi,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14047786,14390003,14729157,15076979,15444014,15815855,16182016,16555030,16935238,17317634,17700808,18085841,18483055,18893258,19305533,19718521,20131318,20537556,20951563,21370849,21785692,22197887,22586208,22970065,23358497,23748952,24131720
BDI,Burundi,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10559681,10693640,10824589,10956751,11097869,11237333,11367759,11498090,11628501,11755534,11878305,11997631,12120359,12246861,12369982,12488952,12603332,12709328,12815996,12921814,13021018,13114922,13191345,13262139,13332714,13401706,13463832
BDI,Burundi,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3488105,3696363,3904568,4120228,4346145,4578522,4814257,5056940,5306737,5562100,5822503,6088210,6362696,6646397,6935551,7229569,7527986,7828228,8135567,8449035,8764674,9082965,9394863,9707926,10025783,10347246,10667888
