,,,,Time_Name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
,,,,Time,YR1950,YR1951,YR1952,YR1953,YR1954,YR1955,YR1956,YR1957,YR1958,YR1959,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024,YR2025,YR2026,YR2027,YR2028,YR2029,YR2030,YR2031,YR2032,YR2033,YR2034,YR2035,YR2036,YR2037,YR2038,YR2039,YR2040,YR2041,YR2042,YR2043,YR2044,YR2045,YR2046,YR2047,YR2048,YR2049,YR2050
Country,Country_Name,Series,Series_Name,SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,Denmark,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5976992,5996088,6010438,6022921,6033245,6041982,6049480,6056712,6062535,6068645,6074507,6079542,6084108,6087826,6091894,6094439,6096822,6098080,6098777,6099020,6098373,6097737,6095440,6092688,6089561,6085716,6081255
DNK,Denmark,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675636,668813,661390,653671,645630,637332,628820,620193,611335,602418,593384,584176,574827,565302,555711,545881,535935,525789,515491,505052,494434,483710,472748,461644,450404,439003,427448
DNK,Denmark,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5301356,5327275,5349048,5369250,5387615,5404650,5420660,5436519,5451200,5466227,5481123,5495366,5509281,5522524,5536183,5548558,5560887,5572291,5583286,5593968,5603939,5614027,5622692,5631044,5639157,5646713,5653807
DOM,Dominican Republic,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11427557,11520487,11609500,11695940,11779927,11860811,11938852,12014154,12086668,12156529,12224127,12289431,12352223,12412546,12470657,12526161,12579320,12630689,12680021,12727294,12772653,12816005,12856880,12895160,12931166,12964838,12996293
DOM,Dominican Republic,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3152613,3166095,3172716,3172776,3166262,3152970,3132948,3106214,3072753,3032606,2985882,2932591,2872706,2806273,2733391,2654020,2568276,2476328,2378184,2273907,2163594,2047305,1925050,1796917,1663059,1523578,1378612
DOM,Dominican Republic,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8274944,8354392,8436784,8523164,8613665,8707841,8805904,8907940,9013915,9123923,9238245,9356840,9479517,9606273,9737266,9872141,10011044,10154361,10301837,10453387,10609059,10768700,10931830,11098243,11268107,11441260,11617681
DZA,Algeria,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46814308,47435312,48028334,48593408,49135522,49655378,50154166,50637359,51113495,51584240,52048003,52516789,52986267,53452776,53921846,54396252,54873476,55351988,55834555,56319592,56806179,57290156,57767666,58234170,58690885,59136158,59565554
DZA,Algeria,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11572829,11470458,11358295,11237068,11108621,10973742,10833305,10689058,10543273,10396672,10249304,10103869,9959781,9816665,9675860,9538134,9403314,9271439,9143283,9018889,8898435,8781624,8668263,8558111,8451810,8349588,8251247
DZA,Algeria,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35241479,35964854,36670039,37356340,38026901,38681636,39320861,39948301,40570222,41187568,41798699,42412920,43026486,43636111,44245986,44858118,45470162,46080549,46691272,47300703,47907744,48508532,49099403,49676059,50239075,50786570,51314307
ECU,Ecuador,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18135478,18289896,18444506,18600320,18757226,18914095,19069719,19222811,19372500,19518745,19661352,19800128,19935165,20066378,20193575,20316265,20434220,20547450,20655768,20759130,20857470,20950628,21038531,21121175,21198613,21270656,21337237
ECU,Ecuador,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6667020,6695598,6714874,6725203,6726536,6718469,6700592,6672495,6633947,6585027,6525777,6456263,6376659,6287096,6187690,6078485,5959633,5831373,5693904,5547484,5392378,5228846,5057183,4877718,4690804,4496748,4295925
ECU,Ecuador,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11468458,11594298,11729632,11875117,12030690,12195626,12369127,12550316,12738553,12933718,13135575,13343865,13558506,13779282,14005885,14237780,14474587,14716077,14961864,15211646,15465092,15721782,15981348,16243457,16507809,16773908,17041312
EGY,"Egypt, Arab Rep.",SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116538258,118365995,120101175,121847617,123608457,125373049,127139322,128912251,130695078,132485605,134287840,136097217,137913263,139738696,141565831,143393264,145213654,147018557,148800781,150547656,152255334,153919189,155535948,157114405,158657389,160161614,161630192
EGY,"Egypt, Arab Rep.",SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66659375,67581869,68431973,69268426,70092361,70897091,71680829,72445768,73193091,73920923,74630850,75319679,75986510,76632199,77251896,77844244,78404702,78928232,79410580,79844702,80228392,80559127,80835184,81061151,81238466,81365446,81443680
EGY,"Egypt, Arab Rep.",SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49878883,50784126,51669202,52579191,53516096,54475958,55458493,56466483,57501987,58564682,59656990,60777538,61926753,63106497,64313935,65549020,66808952,68090325,69390201,70702954,72026942,73360062,74700764,76053254,77418923,78796168,80186512
ERI,Eritrea,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3535603,3607003,3682669,3760374,3840143,3920472,4002672,4085046,4166514,4249506,4334730,4420922,4509757,4601935,4692343,4780475,4868676,4954488,5039301,5124265,5207870,5292768,5375967,5456501,5537542,5617356,5696062
ERI,Eritrea,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2314528,2361128,2410197,2460211,2511114,2561845,2613181,2663926,2713290,2762762,2812700,2862176,2912158,2962973,3011199,3056401,3099963,3140196,3177865,3213565,3246213,3277322,3304889,3328196,3349048,3366241,3379705
ERI,Eritrea,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1221075,1245875,1272472,1300163,1329029,1358627,1389491,1421120,1453224,1486744,1522030,1558746,1597599,1638962,1681144,1724074,1768713,1814292,1861436,1910700,1961657,2015446,2071078,2128305,2188494,2251115,2316357
ESP,Spain,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48848840,48811344,48753012,48690724,48618144,48535432,48436656,48329488,48224132,48117168,48006116,47886144,47760296,47631052,47499592,47358580,47209992,47055460,46890504,46725136,46543796,46349008,46147628,45936912,45720820,45484900,45251396
ESP,Spain,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9615797,9510927,9395882,9274073,9144396,9007024,8861017,8707961,8549814,8386042,8216315,8039939,7857584,7669794,7476874,7277808,7073087,6863126,6647454,6427672,6201805,5970487,5734852,5494766,5250923,5001920,4750503
ESP,Spain,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39233043,39300417,39357130,39416651,39473748,39528408,39575639,39621527,39674318,39731126,39789801,39846205,39902712,39961258,40022718,40080772,40136905,40192334,40243050,40297464,40341991,40378521,40412776,40442146,40469897,40482980,40500893
EST,Estonia,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1372341,1353044,1346087,1339141,1332200,1325321,1318332,1311297,1304223,1297207,1290147,1283194,1276287,1269514,1262910,1256374,1249939,1243504,1237087,1230729,1224342,1218040,1211758,1205539,1199409,1193043,1186560
EST,Estonia,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402122,396160,393838,391542,389269,387036,384790,382551,380317,378118,375922,373772,371650,369580,367572,365595,363658,361731,359819,357931,356043,354186,352341,350519,348728,346872,344985
EST,Estonia,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,970219,956884,952249,947599,942931,938285,933542,928746,923906,919089,914225,909422,904637,899934,895338,890779,886281,881773,877268,872798,868299,863854,859417,855020,850681,846171,841575
ETH,Ethiopia,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132059767,135472051,138902185,142364797,145841261,149336062,152855357,156382428,159923899,163453315,166978793,170532954,174097775,177661138,181235897,184835111,188450902,192068630,195695304,199347986,203014371,206673639,210337848,214023508,217710205,221377337,225021875
ETH,Ethiopia,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100864234,102810152,104740195,106666188,108575008,110471068,112360013,114230750,116089530,117918706,119725973,121536428,123338819,125126448,126910390,128701744,130497000,132288211,134082567,135894103,137716797,139539141,141372077,143229466,145100470,146974443,148852650
ETH,Ethiopia,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31195533,32661899,34161990,35698609,37266253,38864994,40495344,42151678,43834369,45534609,47252820,48996526,50758956,52534690,54325507,56133367,57953902,59780419,61612737,63453883,65297574,67134498,68965771,70794042,72609735,74402894,76169225
FIN,Finland,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5619911,5619551,5612234,5602295,5591257,5579247,5566745,5553726,5540646,5527398,5514068,5500768,5487682,5474826,5462453,5450334,5438792,5427362,5416192,5404803,5393597,5382124,5370647,5358695,5346416,5333814,5320956
FIN,Finland,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1446356,1431593,1415176,1398277,1381326,1364398,1347649,1331111,1314929,1299110,1283709,1268783,1254407,1240614,1227490,1215012,1203282,1192225,1181904,1172242,1163358,1155184,1147806,1141153,1135284,1130228,1126060
FIN,Finland,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4173555,4187958,4197058,4204018,4209931,4214849,4219096,4222615,4225717,4228288,4230359,4231985,4233275,4234212,4234963,4235322,4235510,4235137,4234288,4232561,4230239,4226940,4222841,4217542,4211132,4203586,4194896
FJI,Fiji,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928784,933154,937282,941326,945368,949282,953106,956699,960073,963356,966531,969629,972654,975656,978558,981282,983858,986424,988826,990871,992749,994457,995975,997337,998560,999546,1000261
FJI,Fiji,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380089,377513,374817,372070,369305,366476,363599,360623,357557,354452,351304,348128,344925,341717,338477,335181,331843,328512,325138,321661,318149,314603,311020,307413,303792,300128,296416
FJI,Fiji,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548695,555641,562465,569256,576063,582806,589507,596076,602516,608904,615227,621501,627729,633939,640081,646101,652015,657912,663688,669210,674600,679854,684955,689924,694768,699418,703845
FRA,France,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68551653,68644416,68722448,68794848,68856856,68915136,68964576,69008288,69049752,69088872,69131536,69173952,69216176,69262784,69304744,69344048,69385936,69432752,69480464,69518512,69553696,69584368,69605672,69622768,69631488,69630760,69624712
FRA,France,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14532968,14521750,14492743,14447999,14386651,14310237,14217842,14110270,13988388,13852324,13703398,13540977,13365209,13177104,12975065,12759639,12531937,12292484,12040666,11774818,11496319,11205082,10900548,10583778,10254366,9912437,9558858
FRA,France,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54018685,54122666,54229705,54346849,54470205,54604899,54746734,54898018,55061364,55236548,55428138,55632975,55850967,56085680,56329679,56584409,56853999,57140268,57439798,57743694,58057377,58379286,58705124,59038990,59377122,59718323,60065854
FRO,Faeroe Islands,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54681,55275,55792,56270,56696,57080,57451,57803,58139,58455,58753,59025,59291,59549,59791,60021,60247,60475,60698,60911,61124,61328,61519,61719,61904,62058,62217
FRO,Faeroe Islands,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33129,33362,33538,33679,33778,33842,33886,33908,33909,33887,33843,33772,33685,33581,33456,33312,33153,32982,32794,32588,32369,32131,31872,31603,31313,30992,30660
FRO,Faeroe Islands,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21552,21913,22254,22591,22918,23238,23565,23895,24230,24568,24910,25253,25606,25968,26335,26709,27094,27493,27904,28323,28755,29197,29647,30116,30591,31066,31557
FSM,"Micronesia, Fed. Sts.",SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113160,113683,114183,114700,115249,115799,116350,116903,117463,118019,118580,119143,119677,120210,120731,121212,121681,122154,122627,123109,123590,124064,124540,125009,125485,125953,126408
FSM,"Micronesia, Fed. Sts.",SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87748,88126,88483,88852,89242,89631,90019,90405,90794,91178,91562,91946,92304,92659,93001,93310,93607,93904,94198,94496,94791,95076,95360,95636,95913,96182,96437
FSM,"Micronesia, Fed. Sts.",SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25412,25557,25700,25848,26007,26168,26331,26498,26669,26841,27018,27197,27373,27551,27730,27902,28074,28250,28429,28613,28799,28988,29180,29373,29572,29771,29971
GAB,Gabon,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2538952,2593130,2647399,2701851,2756477,2811346,2866667,2922501,2978805,3035704,3093222,3151468,3210584,3270298,3330505,3391378,3452988,3515217,3577741,3640561,3703794,3767429,3831210,3894845,3958287,4021472,4084533
GAB,Gabon,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206589,205177,203711,202212,200694,199177,197689,196248,194866,193565,192362,191279,190339,189542,188900,188441,188187,188151,188335,188761,189458,190445,191735,193336,195269,197560,200229
GAB,Gabon,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2332363,2387953,2443688,2499639,2555783,2612169,2668978,2726253,2783939,2842139,2900860,2960189,3020245,3080756,3141605,3202937,3264801,3327066,3389406,3451800,3514336,3576984,3639475,3701509,3763018,3823912,3884304
GBR,United Kingdom,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69226000,69607016,69949520,70283608,70595968,70887440,71176648,71441984,71697928,71954496,72192856,72430680,72653424,72867016,73081160,73285040,73484672,73679672,73869272,74058248,74231848,74396696,74550496,74696904,74829816,74948104,75054400
GBR,United Kingdom,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11600232,11607939,11610165,11612048,11611493,11608758,11607000,11602788,11598585,11596097,11592371,11590342,11587764,11585676,11585704,11586211,11588232,11591785,11596829,11604191,11611638,11620290,11629868,11641019,11652869,11665316,11678843
GBR,United Kingdom,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57625768,57999077,58339355,58671560,58984475,59278682,59569648,59839196,60099343,60358399,60600485,60840338,61065660,61281340,61495456,61698829,61896440,62087887,62272443,62454057,62620210,62776406,62920628,63055885,63176947,63282788,63375557
GEO,Georgia,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3699557,3698736,3697351,3695203,3693190,3689667,3685779,3680662,3676054,3670945,3664668,3658255,3650498,3643224,3636050,3629668,3622271,3616245,3610144,3603476,3596764,3589101,3581015,3573315,3565540,3558115,3550051
GEO,Georgia,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1439906,1435918,1431616,1427263,1423201,1418789,1414460,1409878,1405701,1401533,1397113,1392827,1388208,1383943,1379878,1376266,1372414,1369217,1366120,1362928,1359831,1356479,1353062,1349880,1346750,1343823,1340723
GEO,Georgia,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2259651,2262818,2265735,2267940,2269989,2270878,2271319,2270784,2270353,2269412,2267555,2265428,2262290,2259281,2256172,2253402,2249857,2247028,2244024,2240548,2236933,2232622,2227953,2223435,2218790,2214292,2209328
GHA,Ghana,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34427414,35064272,35697557,36328263,36959314,37589710,38222089,38856803,39492793,40132725,40774156,41412554,42047456,42682175,43314977,43942859,44568350,45190635,45808599,46421965,47030358,47634274,48231610,48823459,49408510,49984440,50553047
GHA,Ghana,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14333686,14402760,14462827,14514311,14558369,14594571,14623898,14646412,14661638,14670490,14671979,14664431,14647694,14622919,14589479,14546369,14494450,14433455,14363044,14283159,14193717,14094905,13986141,13867802,13739570,13600882,13452330
GHA,Ghana,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20093728,20661512,21234730,21813952,22400945,22995139,23598191,24210391,24831155,25462235,26102177,26748123,27399762,28059256,28725498,29396490,30073900,30757180,31445555,32138806,32836641,33539369,34245469,34955657,35668940,36383558,37100717
GIB,Gibraltar,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39329,40126,40867,41561,42226,42860,43459,44033,44581,45093,45571,46017,46429,46809,47179,47522,47822,48089,48334,48559,48772,48974,49154,49335,49504,49657,49798
GIB,Gibraltar,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIB,Gibraltar,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39329,40126,40867,41561,42226,42860,43459,44033,44581,45093,45571,46017,46429,46809,47179,47522,47822,48089,48334,48559,48772,48974,49154,49335,49504,49657,49798
GIN,Guinea,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14754785,15099727,15441993,15784089,16126575,16466756,16807147,17147633,17485892,17822202,18154407,18486013,18820865,19155753,19489369,19823858,20160750,20497029,20830651,21163499,21492051,21817245,22141685,22463112,22780054,23092613,23404584
GIN,Guinea,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9137446,9283836,9422480,9554677,9680503,9798080,9908657,10011888,10106149,10191355,10266036,10331939,10390907,10440824,10480679,10511330,10533242,10544487,10543721,10531619,10506147,10467537,10416769,10352485,10273767,10180451,10073961
GIN,Guinea,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5617339,5815891,6019513,6229412,6446072,6668676,6898490,7135745,7379743,7630847,7888371,8154074,8429958,8714929,9008690,9312528,9627508,9952542,10286930,10631880,10985904,11349708,11724916,12110627,12506287,12912162,13330623
GMB,"Gambia, The",SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2759988,2822093,2884079,2945881,3007546,3069018,3130133,3190997,3251825,3312597,3373121,3433425,3493576,3553533,3613501,3673340,3732798,3791800,3850536,3909026,3966913,4024237,4080970,4137203,4192849,4247714,4301895
GMB,"Gambia, The",SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,985332,988057,989439,989430,988017,985156,980766,974856,967466,958558,948048,935917,922156,906726,889651,870847,873231,876401,880422,885321,891036,897595,905007,913303,922473,932480,943349
GMB,"Gambia, The",SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1774656,1834036,1894640,1956451,2019529,2083862,2149367,2216141,2284359,2354039,2425073,2497508,2571420,2646807,2723850,2802493,2859567,2915399,2970114,3023705,3075877,3126642,3175963,3223900,3270376,3315234,3358546
GNB,Guinea-Bissau,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2201352,2249515,2297808,2346189,2394230,2441582,2488934,2536900,2585578,2634708,2683088,2730133,2777890,2826168,2873934,2921987,2969702,3016544,3063169,3109930,3156711,3204249,3251468,3298567,3345863,3392568,3438608
